id,nama,kategori,zona,strategi,claim_rating,claim_reviews,actual_rating,actual_reviews,kota_maps,alamat_maps,verdict,flags
87,Kimia Farma Sukabumi,Health,Zona 4 (Jantung Kota),UNDER_5,4.5,415,3.7,176,Lainnya/Tidak jelas,Apotek ·  · Jl. Veteran II No.2,LOW_CONFIDENCE_MATCH,RATING_CLAIM_4.5_AKTUAL_3.7|REVIEW_CLAIM_415_AKTUAL_176|GENERIC_QUERY_RESULT
88,Laboratorium Klinik Vita Medika,Health,Zona 1 (Baros/Jalur),UNDER_5,4.6,275,4.6,12,Sukabumi Kota,"Jl. Surya Kencana, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_275_AKTUAL_12
89,Primaya Hospital Sukabumi,Health,Zona 1 (Baros/Jalur),UNDER_5,4.7,1250,4.7,1362,Sukabumi Kab,"Jl. R.A. Kosasih No.45, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",OK,ZONE_FALLBACK
90,Klinik Pratama Jasalab,Health,Zona 1 (Baros/Jalur),UNDER_5,4.7,310,4.7,55,Sukabumi Kota,"Jl. Cikole Dalam No.12, RT.07/RW.07, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_310_AKTUAL_55
91,praktik dokter keluarga dr kamal & dr dini,Health,Zona 1 (Baros/Jalur),UNDER_5,4.8,245,4.8,19,Sukabumi Kab,"Jl. Kapten Asmud Lubis, Selabatu, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43151",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_245_AKTUAL_19
92,Prodia Sukabumi,Health,Zona 1 (Baros/Jalur),UNDER_5,4.8,520,4.8,99,Sukabumi Kota,"Jl. Sudirman No.42B, RT.02/RW.04, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43132",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_520_AKTUAL_99
93,Apotek Mitra Husada,Health,Zona 1 (Baros/Jalur),UNDER_5,4.9,380,4.9,777,Sukabumi Kab,"Dokter ·  · Jl Raya Rambay No 63c Kecamatan Cisaat, Kabupaten Sukabumi",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_380_AKTUAL_777
94,KLINIK PRATAMA WALUYA SEJATI ABADI SUKABUMI,Health,Zona 1 (Baros/Jalur),UNDER_5,4.9,215,4.9,37,Sukabumi Kota,"Jl. Pelabuhan II No.262, RT.3/RW.1, Situmekar, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43168",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_215_AKTUAL_37
95,Klinik Holistic Natural Insani Sukabumi,Health,Zona 1 (Baros/Jalur),UNDER_5,4.9,290,4.9,248,Sukabumi Kota,"Jl. Lkr. Sel., RT./RW/RW.004/018, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",OK,ZONE_FALLBACK
96,Bening's Clinic Sukabumi,Health,Zona 1 (Baros/Jalur),UNDER_5,4.9,410,4.9,141,Sukabumi Kota,"Jl. Sudirman No.Blok 34, RT.002/RW.004, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43132",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_410_AKTUAL_141
97,Apotek Ciaul Sukabumi,Health,Zona 4 (Jantung Kota),UNDER_5,4.9,265,4.9,15,Sukabumi Kota,"Jl. R.A. Kosasih, Cisarua, Kec. Cikole, Kota Sukabumi, Jawa Barat 43115",REVIEW_OFF,REVIEW_CLAIM_265_AKTUAL_15
98,Klinik Obat Dokter Amelia Di Sukabumi,Health,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,48,5,2,Sukabumi Kota,"3WFJ+XG7, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_48_AKTUAL_2
99,KHITAN SUKABUMI CIPOHO MEDIKA,Health,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,115,5,94,Sukabumi Kota,"Depan Pabrik PT. Great Apparel, Jl. Pelabuhan II, RT.01/RW.04, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43131",OK,ZONE_FALLBACK
100,APOTEK LARAS SUKABUMI,Health,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,34,5,142,Sukabumi Kota,"Jl. Karamat, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43122",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_34_AKTUAL_142
101,Apotek Cikole Sukabumi,Health,Zona 4 (Jantung Kota),HIGH_LOW_REV,5,76,5,90,Sukabumi Kota,"Jl. Cikole Dalam No.15, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",OK,
102,Ardin Teknik Sukabumi,Services,Zona 1 (Baros/Jalur),UNDER_5,4.6,210,4.6,52,Sukabumi Kota,"Cisarua, Kec. Cikole, Kota Sukabumi, Jawa Barat 43115",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_210_AKTUAL_52
103,Lavandera Laundry,Services,Zona 1 (Baros/Jalur),UNDER_5,4.7,345,4.7,169,Sukabumi Kota,"Jl. Bhayangkara No.214, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43121",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_345_AKTUAL_169
104,Lumire Laundry Sukabumi,Services,Zona 1 (Baros/Jalur),UNDER_5,4.9,220,4.9,181,Sukabumi Kota,"Ruko Danalaga, blok j8, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",OK,ZONE_FALLBACK
105,SERVICE AC SUKABUMI SIGMA TECHNIQUE,Services,Zona 1 (Baros/Jalur),UNDER_5,4.9,285,4.9,161,Sukabumi Kota,"Jl. Aminta Azmali, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",OK,ZONE_FALLBACK
106,Buana Jaya Mandiri Ac 1,Services,Zona 1 (Baros/Jalur),UNDER_5,4.9,215,4.9,288,Sukabumi Kab,"Jl. Raya Rambay No.49, Sukamantri, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152",OK,ZONE_FALLBACK
107,SERVICE KULKAS SUKABUMI,Services,Zona 1 (Baros/Jalur),UNDER_5,4.9,250,4.9,100,Lainnya/Tidak jelas,"Jasa Reparasi Kulkas · Jl. Babakan Garung, RT.05/RW06",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_250_AKTUAL_100|GENERIC_QUERY_RESULT
108,Service mesin cuci Sukabumi,Services,Zona 1 (Baros/Jalur),UNDER_5,4.9,240,4.9,100,Lainnya/Tidak jelas,"Jasa Reparasi Kulkas · Jl. Babakan Garung, RT.05/RW06",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_240_AKTUAL_100|GENERIC_QUERY_RESULT
109,Amani Laundry Terdekat Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,188,4.8,157,Lainnya/Tidak jelas,Amani Laundry Karpet Cisaat Cikiray,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|RATING_CLAIM_5_AKTUAL_4.8|GENERIC_QUERY_RESULT
110,Sukabumi Laundry Cabang Cisaat,Services,Zona 2 (Cisaat/Cibadak),HIGH_LOW_REV,5,95,5,23,Sukabumi (tidak jelas kota/kab),Sukabumi Laundry Cabang Cisaat,REVIEW_OFF,REVIEW_CLAIM_95_AKTUAL_23
111,AA LAUNDRY Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,62,5,104,Lainnya/Tidak jelas,Layanan Binatu · Jl. Letda T. Asmita Gg.Babakan Kuta 4 No.29,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_62_AKTUAL_104|GENERIC_QUERY_RESULT
112,MEGA CEMERLANG SUKABUMI,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,45,5,5,Sukabumi Kab,"Jl. Cimahpar Endah 2 Jl. Cendrawasih No.24 A, Pasirhalang, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 42192",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_45_AKTUAL_5
113,Bersih.in WearCare Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,112,5,221,Sukabumi Kota,"Jl. Lettu Bakrie No.2, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_112_AKTUAL_221
114,ADAVA LAUNDRY Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,38,5,96,Sukabumi Kota,"Jl rh Didi Sukardi gedong panjang Citamiang gg gempar RT 01, pos 43144, kode No.24 06, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_38_AKTUAL_96
115,SERVICE AC SUKABUMI Alteknik,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,145,5,8,Sukabumi Kab,"Pesona Aluna II, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_145_AKTUAL_8|GENERIC_QUERY_RESULT
116,Utama teknik Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,120,5,12,Sukabumi Kab,"Jl. Raya Cidahu No.Rt 01/03, Jayabakti, Kec. Cidahu, Kabupaten Sukabumi, Jawa Barat 43358",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_120_AKTUAL_12
117,BIAN SUMUR BOR SUKABUMI,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,75,5,4,Sukabumi Kota,"Jl. Koleberes No.42B, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_75_AKTUAL_4|GENERIC_QUERY_RESULT
118,Sumur Bor Sukabumi Pak Darmi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,30,5,24,Sukabumi Kab,"Jl. Koleberes Cikapek, RT.02/RW.10, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43134",OK,ZONE_FALLBACK
119,Servis elektronik sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,88,5,1,Lainnya/Tidak jelas,"Bengkel Elektronik · Jl. Pelabuhan II Jl. Cikujang No.kp, RT.05/RW.13",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_88_AKTUAL_1|GENERIC_QUERY_RESULT
120,VANSERVIS Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,54,4.6,139,Lainnya/Tidak jelas,Bengkel Mobil ·  · Jl. Pajagalan No.29,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|RATING_CLAIM_5_AKTUAL_4.6|REVIEW_CLAIM_54_AKTUAL_139|GENERIC_QUERY_RESULT
121,LJL SERVICE Sukabumi,Services,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,42,5,8,Sukabumi Kab,"Parung Kuda-Ciambar, Ciambar, Kec. Ciambar, Kabupaten Sukabumi, Jawa Barat 43356",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_42_AKTUAL_8
122,Cambridge Institute Sukabumi,Education,Zona 1 (Baros/Jalur),UNDER_5,4.4,310,4.4,21,Sukabumi Kota,"3WJ8+876, Jl. Raya Sukabumi, Gunungpuyuh, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43132",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_310_AKTUAL_21
123,Little Angels Learning Center Sukabumi,Education,Zona 1 (Baros/Jalur),UNDER_5,4.8,245,4.8,5,Sukabumi Kota,"Graha Siliwangi, Jl. Siliwangi No.98 Block B2, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_245_AKTUAL_5|GENERIC_QUERY_RESULT
124,Tunas Permata Bangsa Sukabumi,Education,Zona 1 (Baros/Jalur),UNDER_5,4.9,280,4.9,124,Sukabumi Kab,"Ruko Cisuda Riverside, Jl. R.A. Kosasih Blok N-O, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_280_AKTUAL_124
125,Bimbel ILC Sukabumi,Education,Zona 1 (Baros/Jalur),UNDER_5,4.9,215,4.9,28,Lainnya/Tidak jelas,"Kursus · Ruko Bumi Asri, Gg. Cikiray Jl. Cikiray Kidul",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_215_AKTUAL_28|GENERIC_QUERY_RESULT
126,LPK GPB Sukabumi,Education,Zona 1 (Baros/Jalur),UNDER_5,4.9,320,4.9,254,Sukabumi Kota,"Jl. Baros Kp. Tugu No.151, Baros, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",OK,ZONE_FALLBACK
127,Brain Academy Ruangguru Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,195,5,45,Sukabumi Kota,"Ruko.2, Jl. Sudirman No.75, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_195_AKTUAL_45
128,Math Champs Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,85,5,24,Sukabumi Kota,"Ruko.2, Jl. Sudirman No.75B, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_85_AKTUAL_24
129,Ganesha Operation Ra Kosasih Sukabumi,Education,Zona 5 (Timur/Utara),HIGH_LOW_REV,5,140,5,432,Sukabumi Kota,"Jalan R.A Kosasih Ruko B Ciaul Subang Jaya, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",REVIEW_OFF,REVIEW_CLAIM_140_AKTUAL_432
130,Ganesha Operation Syamsudin Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,165,5,529,Sukabumi Kota,"Jl. Syamsudin. SH No.29, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_165_AKTUAL_529
131,LBB Nurul Fikri RA Kosasih Sukabumi,Education,Zona 5 (Timur/Utara),HIGH_LOW_REV,5,110,5,192,Sukabumi Kota,"Jl. R.A. Kosasih No.3E, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",REVIEW_OFF,REVIEW_CLAIM_110_AKTUAL_192
132,Bumi Kreatif Institute Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,75,5,1078,Sukabumi Kota,"Gg. Kopi No.RT 05/02, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_75_AKTUAL_1078
133,TPA KB TK Daruttaqwa Foundation Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,42,5,46,Sukabumi Kota,"Toserba selamat, Jl. R. E. Martadinata No.79 Lt 3, Kebonjati, Kecamatan Sukabumi, Kota Sukabumi, Jawa Barat 43112",OK,ZONE_FALLBACK
134,bimba genio cibeureum Sukabumi,Education,Zona 5 (Timur/Utara),HIGH_LOW_REV,5,58,5,45,Sukabumi Kab,"Jl. R.A. Kosasih No.21, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",OK,
135,PlayWay Day Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,34,5,30,Sukabumi Kab,"Jl. Baros No.151, RT.05/RW.04, Jayaraksa, Kec. Baros, Kabupaten Sukabumi, Jawa Barat 43167",OK,ZONE_FALLBACK
136,TKQ Gemilang Sukabumi,Education,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,28,5,7,Sukabumi Kota,"Jl. Otto Iskandardinata Jl. Manggis I No.35B, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_28_AKTUAL_7
137,Berdikari Expo Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.4,850,4.4,983,Sukabumi Kota,"Cibeureum Hilir, Kec. Cibeureum, Kota Sukabumi, Jawa Barat",OK,ZONE_FALLBACK
138,TB. Sumber Milik Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.5,640,4.5,56,Sukabumi Kota,"Jl. Otto Iskandardinata No.66, Tipar, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43141",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_640_AKTUAL_56
139,Mochi Kaswari Lampion Sukabumi,Retail,Zona 3 (Pusat Selatan),UNDER_5,4.6,3120,4.6,3584,Sukabumi Kota,"Gg. Kaswari No.1, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",OK,
140,Pusat Jajanan Khas Sukabumi,Retail,Zona 3 (Pusat Selatan),UNDER_5,4.6,1850,4.6,55,Sukabumi Kota,"Jalan Suryakencana No. 32 & Jalan Syamsudin. Sh., Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,REVIEW_CLAIM_1850_AKTUAL_55
141,Toko Bangunan Baros Jaya Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.6,410,4.6,80,Sukabumi Kota,"Jl. RH. Didi Sukardi No.165, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",REVIEW_OFF,REVIEW_CLAIM_410_AKTUAL_80
142,Bika Ambon Sunda Rasa Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,920,4.7,339,Sukabumi Kota,"Jl. Siliwangi No.68, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_920_AKTUAL_339
143,Kelana Oleh-oleh Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,530,4.7,10,Lainnya/Tidak jelas,"Toko Suvenir · 3VRF+FQF, Jl. Lintas Selatan",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_530_AKTUAL_10|GENERIC_QUERY_RESULT
144,Zahra Pet Shop & Grooming Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,315,4.7,255,Sukabumi Kota,"Jl. Siliwangi No.62, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",OK,ZONE_FALLBACK
145,RG Petshop & GROOMING Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,280,4.7,169,Sukabumi Kota,"Jl. Pasundan No.79, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",OK,ZONE_FALLBACK
146,Kamo Petshop Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,425,4.7,335,Sukabumi Kota,"Jl. Surya Kencana No.58, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",OK,ZONE_FALLBACK
147,SUKABUMI HOME CENTER,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.7,1150,4.7,110,Sukabumi Kota,"Jl. R.A. Kosasih, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_1150_AKTUAL_110
148,Jansen Petshop Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.8,390,4.8,69,Sukabumi Kota,"No.02 Blok N, Danalaga Square, Jl. Pajagalan, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_390_AKTUAL_69
149,RKM Sukabumi,Retail,Zona 1 (Baros/Jalur),UNDER_5,4.9,510,4.9,793,Sukabumi Kab,"Jl. Nasional III desa No.317, Nagrak, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43252",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_510_AKTUAL_793
150,Rumah Puding Premium Sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,4.9,145,4.9,171,Sukabumi Kota,"Jl. Balai Desa No.9, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",OK,STRATEGY_MISMATCH|ZONE_FALLBACK
151,Nori's Florist Sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,88,5,131,Sukabumi Kab,"Sebrang Kenanga Kopi Jl. Selabintana No.198, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",OK,ZONE_FALLBACK
152,Sukabumi Ratu Florist,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,65,5,37,Sukabumi Kab,"2WR4+J2Q, Jl. Pelabuhan II, kp kadulawang, Cipanengah, Kec. Lembursitu, Kabupaten Sukabumi, Jawa Barat 43168",OK,ZONE_FALLBACK
153,Florist Sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,112,5,131,Lainnya/Tidak jelas,Toko Bunga ·  · Sebrang Kenanga Kopi Jl. Selabintana No.198,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|GENERIC_QUERY_RESULT
154,Keler Bouquet Sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,175,5,365,Sukabumi Kab,"Rumah Pertama Perum Cibatu Regency Depan Pos Satpamnya, Perum Cibatu Regency Jl. Siliwangi, RT.17/04/RW.no. 3, Cibatu, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_175_AKTUAL_365
155,Incrediblemoment florist sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,94,5,17,Sukabumi Kota,"3WXH+597 Jl. Bhineka Karya no. 19, Ruko No.mor 21, Karamat, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43122",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_94_AKTUAL_17
156,Millan Petshop Sukabumi,Retail,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,130,5,31,Sukabumi Kota,"Jl. Perintis Kemerdekaan No.50, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_130_AKTUAL_31
157,HAI STUDIOS Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.5,280,4.5,342,Sukabumi Kota,"Limusnunggal, Kec. Cibeureum, Kota Sukabumi, Jawa Barat 43165",OK,ZONE_FALLBACK
158,Disini Aja Studio Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.5,215,4.5,295,Sukabumi Kota,"3WCM+G5H, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",OK,ZONE_FALLBACK
159,IMAJI FOTO STUDIO SUKABUMI,Event,Zona 1 (Baros/Jalur),UNDER_5,4.6,340,4.6,1065,Sukabumi Kota,"Jl. Siliwangi No.52, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_340_AKTUAL_1065
160,Azkana Wedding Dekorasi Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.7,265,4.7,14,Sukabumi Kota,"Kavling Jl. Koleberes, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43156",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_265_AKTUAL_14
161,GMS Tour and Travel Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.8,210,4.8,49,Sukabumi Kab,"Jl. Raya Cikidang No.KM 13 Rt 03/12, Pangkalan, Kec. Cikidang, Kabupaten Sukabumi, Jawa Barat 43367",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_210_AKTUAL_49
162,Wedding Planner Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.9,295,4.9,22,Sukabumi Kota,"Jl. Cicadas Raya, Cicadas Residen No. 01, Tegalaya, Cipanengah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43168",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_295_AKTUAL_22
163,JAKA WEDDING ORGANIZER Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.9,315,4.9,35,Sukabumi Kab,"Jl. Nagrak-Gunung Guruh, Cibolang, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_315_AKTUAL_35
164,Licht Studio Sukabumi,Event,Zona 1 (Baros/Jalur),UNDER_5,4.9,250,4.9,220,Sukabumi Kota,"Jl. Pelabuhan II No.272A, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",OK,ZONE_FALLBACK
165,Khei Wedding Organizer Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,185,5,2,,,LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_185_AKTUAL_2|GENERIC_QUERY_RESULT
166,Affay Project Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,112,5,5,Sukabumi Kota,"Jl. Jayaniti No.7, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_112_AKTUAL_5|GENERIC_QUERY_RESULT
167,Gosimplywedding Office 1 Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,88,5,114,Sukabumi Kota,"Jl. Kenari No.20, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",OK,ZONE_FALLBACK
168,Reality Event Organizer Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,45,5,2,Sukabumi Kota,"Perum Taman Asri, Blok D2 No.2, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_45_AKTUAL_2
169,PRIMA WO Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,67,5,4,Sukabumi Kab,"Jl. Taman, Sukamanis, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_67_AKTUAL_4|GENERIC_QUERY_RESULT
170,Lensa Entertainment Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,92,5,1,Sukabumi Kota,"JL SIliwangi Gang Haji Marzuki ll, No. 136 RT 05/06, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_92_AKTUAL_1|GENERIC_QUERY_RESULT
