id,nama,kategori,zona,strategi,telepon,tipe,rating,reviews,maps_url
130,"Ganesha Operation Syamsudin Sukabumi","Education","Zona 4 (Jantung Kota)","HIGH_LOW_REV",08112386323,mobile,5,529,"https://www.google.com/maps/search/?api=1&query=Ganesha%20Operation%20Syamsudin%20Sukabumi"
131,"LBB Nurul Fikri RA Kosasih Sukabumi","Education","Zona 5 (Timur/Utara)","HIGH_LOW_REV",085603925970,mobile,5,192,"https://www.google.com/maps/search/?api=1&query=LBB%20Nurul%20Fikri%20RA%20Kosasih%20Sukabumi"
132,"Bumi Kreatif Institute Sukabumi","Education","Zona 4 (Jantung Kota)","HIGH_LOW_REV",081563399429,mobile,5,1078,"https://www.google.com/maps/search/?api=1&query=Bumi%20Kreatif%20Institute%20Sukabumi"
133,"TPA KB TK Daruttaqwa Foundation Sukabumi","Education","Zona 4 (Jantung Kota)","HIGH_LOW_REV",085860669993,mobile,5,46,"https://www.google.com/maps/search/?api=1&query=TPA%20KB%20TK%20Daruttaqwa%20Foundation%20Sukabumi"
134,"bimba genio cibeureum Sukabumi","Education","Zona 6 (Ekspedisi Wisata)","HIGH_LOW_REV",083829829898,mobile,5,45,"https://www.google.com/maps/search/?api=1&query=bimba%20genio%20cibeureum%20Sukabumi"
135,"PlayWay Day Sukabumi","Education","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",082219836661,mobile,5,30,"https://www.google.com/maps/search/?api=1&query=PlayWay%20Day%20Sukabumi"
136,"TKQ Gemilang Sukabumi","Education","Zona 4 (Jantung Kota)","HIGH_LOW_REV",089506194217,mobile,5,7,"https://www.google.com/maps/search/?api=1&query=TKQ%20Gemilang%20Sukabumi"
137,"Berdikari Expo Sukabumi","Retail","Zona 5 (Timur/Utara)","UNDER_5",085600000222,mobile,4.4,983,"https://www.google.com/maps/search/?api=1&query=Berdikari%20Expo%20Sukabumi"
138,"TB. Sumber Milik Sukabumi","Retail","Zona 1 (Baros/Jalur)","UNDER_5",087888881040,mobile,4.5,56,"https://www.google.com/maps/search/?api=1&query=TB.%20Sumber%20Milik%20Sukabumi"
139,"Mochi Kaswari Lampion Sukabumi","Retail","Zona 4 (Jantung Kota)","UNDER_5",08111122594,mobile,4.6,3584,"https://www.google.com/maps/search/?api=1&query=Mochi%20Kaswari%20Lampion%20Sukabumi"
140,"Pusat Jajanan Khas Sukabumi","Retail","Zona 4 (Jantung Kota)","UNDER_5",085720300055,mobile,4.6,55,"https://www.google.com/maps/search/?api=1&query=Pusat%20Jajanan%20Khas%20Sukabumi"
141,"Toko Bangunan Baros Jaya Sukabumi","Retail","Zona 1 (Baros/Jalur)","UNDER_5",,,4.6,80,"https://www.google.com/maps/search/?api=1&query=Toko%20Bangunan%20Baros%20Jaya%20Sukabumi"
142,"Bika Ambon Sunda Rasa Sukabumi","Retail","Zona 4 (Jantung Kota)","UNDER_5",0266231540,landline,4.7,339,"https://www.google.com/maps/search/?api=1&query=Bika%20Ambon%20Sunda%20Rasa%20Sukabumi"
143,"Kelana Oleh-oleh Sukabumi","Retail","Zona 4 (Jantung Kota)","UNDER_5",,,4.7,10,"https://www.google.com/maps/search/?api=1&query=Kelana%20Oleh-oleh%20Sukabumi"
144,"Zahra Pet Shop & Grooming Sukabumi","Pet & Hewan","Zona 4 (Jantung Kota)","UNDER_5",087820899599,mobile,4.7,255,"https://www.google.com/maps/search/?api=1&query=Zahra%20Pet%20Shop%20%26%20Grooming%20Sukabumi"
145,"RG Petshop & GROOMING Sukabumi","Pet & Hewan","Zona 1 (Baros/Jalur)","UNDER_5",08991436888,mobile,4.7,169,"https://www.google.com/maps/search/?api=1&query=RG%20Petshop%20%26%20GROOMING%20Sukabumi"
146,"Kamo Petshop Sukabumi","Pet & Hewan","Zona 4 (Jantung Kota)","UNDER_5",089673378345,mobile,4.7,335,"https://www.google.com/maps/search/?api=1&query=Kamo%20Petshop%20Sukabumi"
147,"SUKABUMI HOME CENTER","Retail","Zona 5 (Timur/Utara)","UNDER_5",085721798176,mobile,4.7,110,"https://www.google.com/maps/search/?api=1&query=SUKABUMI%20HOME%20CENTER"
148,"Jansen Petshop Sukabumi","Pet & Hewan","Zona 1 (Baros/Jalur)","UNDER_5",081224139192,mobile,4.8,69,"https://www.google.com/maps/search/?api=1&query=Jansen%20Petshop%20Sukabumi"
149,"RKM Sukabumi","Retail","Zona 2 (Cisaat/Cibadak)","UNDER_5",08112211016,mobile,4.9,793,"https://www.google.com/maps/search/?api=1&query=RKM%20Sukabumi"
150,"Rumah Puding Premium Sukabumi","Retail","Zona 4 (Jantung Kota)","UNDER_5",085864005100,mobile,4.9,171,"https://www.google.com/maps/search/?api=1&query=Rumah%20Puding%20Premium%20Sukabumi"
151,"Nori's Florist Sukabumi","Retail","Zona 5 (Timur/Utara)","HIGH_LOW_REV",081779441245,mobile,5,131,"https://www.google.com/maps/search/?api=1&query=Nori's%20Florist%20Sukabumi"
152,"Sukabumi Ratu Florist","Retail","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",085774058845,mobile,5,38,"https://www.google.com/maps/search/?api=1&query=Sukabumi%20Ratu%20Florist"
153,"Florist Sukabumi","Retail","Zona 3 (Pusat Selatan)","UNDER_5",081779441245,mobile,4.9,27,"https://www.google.com/maps/search/?api=1&query=Florist%20Sukabumi"
154,"Keler Bouquet Sukabumi","Retail","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",089637546144,mobile,5,365,"https://www.google.com/maps/search/?api=1&query=Keler%20Bouquet%20Sukabumi"
155,"Incrediblemoment florist sukabumi","Retail","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",08381015846,mobile,5,17,"https://www.google.com/maps/search/?api=1&query=Incrediblemoment%20florist%20sukabumi"
156,"Millan Petshop Sukabumi","Pet & Hewan","Zona 4 (Jantung Kota)","HIGH_LOW_REV",089519201920,mobile,5,31,"https://www.google.com/maps/search/?api=1&query=Millan%20Petshop%20Sukabumi"
157,"HAI STUDIOS Sukabumi","Foto & Kamera","Zona 5 (Timur/Utara)","UNDER_5",0816279750,mobile,4.5,342,"https://www.google.com/maps/search/?api=1&query=HAI%20STUDIOS%20Sukabumi"
158,"Disini Aja Studio Sukabumi","Foto & Kamera","Zona 1 (Baros/Jalur)","UNDER_5",,,4.5,295,"https://www.google.com/maps/search/?api=1&query=Disini%20Aja%20Studio%20Sukabumi"
159,"IMAJI FOTO STUDIO SUKABUMI","Foto & Kamera","Zona 4 (Jantung Kota)","UNDER_5",08111177225,mobile,4.6,1065,"https://www.google.com/maps/search/?api=1&query=IMAJI%20FOTO%20STUDIO%20SUKABUMI"
160,"Azkana Wedding Dekorasi Sukabumi","Event","Zona 1 (Baros/Jalur)","UNDER_5",085210120080,mobile,4.7,14,"https://www.google.com/maps/search/?api=1&query=Azkana%20Wedding%20Dekorasi%20Sukabumi"
161,"GMS Tour and Travel Sukabumi","Event","Zona 4 (Jantung Kota)","UNDER_5",081315003942,mobile,4.8,49,"https://www.google.com/maps/search/?api=1&query=GMS%20Tour%20and%20Travel%20Sukabumi"
162,"Wedding Planner Sukabumi","Event","Zona 1 (Baros/Jalur)","UNDER_5",087844546379,mobile,4.9,22,"https://www.google.com/maps/search/?api=1&query=Wedding%20Planner%20Sukabumi"
163,"JAKA WEDDING ORGANIZER Sukabumi","Event","Zona 2 (Cisaat/Cibadak)","UNDER_5",085797130796,mobile,4.9,35,"https://www.google.com/maps/search/?api=1&query=JAKA%20WEDDING%20ORGANIZER%20Sukabumi"
164,"Licht Studio Sukabumi","Foto & Kamera","Zona 1 (Baros/Jalur)","UNDER_5",085174432305,mobile,4.9,220,"https://www.google.com/maps/search/?api=1&query=Licht%20Studio%20Sukabumi"
165,"Khei Wedding Organizer Sukabumi","Event","Zona 4 (Jantung Kota)","HIGH_LOW_REV",082310900100,mobile,5,2,"https://www.google.com/maps/search/?api=1&query=Khei%20Wedding%20Organizer%20Sukabumi"
166,"Affay Project Sukabumi","Event","Zona 4 (Jantung Kota)","HIGH_LOW_REV",081285960220,mobile,5,5,"https://www.google.com/maps/search/?api=1&query=Affay%20Project%20Sukabumi"
167,"Gosimplywedding Office 1 Sukabumi","Event","Zona 4 (Jantung Kota)","HIGH_LOW_REV",081311566060,mobile,5,114,"https://www.google.com/maps/search/?api=1&query=Gosimplywedding%20Office%201%20Sukabumi"
168,"Reality Event Organizer Sukabumi","Event","Zona 5 (Timur/Utara)","HIGH_LOW_REV",085794048015,mobile,5,2,"https://www.google.com/maps/search/?api=1&query=Reality%20Event%20Organizer%20Sukabumi"
169,"PRIMA WO Sukabumi","Event","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",085314455170,mobile,5,4,"https://www.google.com/maps/search/?api=1&query=PRIMA%20WO%20Sukabumi"
170,"Lensa Entertainment Sukabumi","Event","Zona 4 (Jantung Kota)","HIGH_LOW_REV",085846138137,mobile,5,1,"https://www.google.com/maps/search/?api=1&query=Lensa%20Entertainment%20Sukabumi"
171,"Yunas Studio Sukabumi","Foto & Kamera","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",081235063247,mobile,5,914,"https://www.google.com/maps/search/?api=1&query=Yunas%20Studio%20Sukabumi"
172,"Moophoto Photobooth Studio Baros Sukabumi","Foto & Kamera","Zona 5 (Timur/Utara)","HIGH_LOW_REV",085722948500,mobile,5,10,"https://www.google.com/maps/search/?api=1&query=Moophoto%20Photobooth%20Studio%20Baros%20Sukabumi"
173,"Fauna photography Sukabumi","Foto & Kamera","Zona 4 (Jantung Kota)","HIGH_LOW_REV",087882987413,mobile,5,10,"https://www.google.com/maps/search/?api=1&query=Fauna%20photography%20Sukabumi"
174,"Lawa Creative Studio Sukabumi","Foto & Kamera","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",08973301000,mobile,5,14,"https://www.google.com/maps/search/?api=1&query=Lawa%20Creative%20Studio%20Sukabumi"
175,"Milkyverse Ramayana Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",088210796294,mobile,4,32,"https://www.google.com/maps/search/?api=1&query=Milkyverse%20Ramayana%20Sukabumi"
176,"Dinopark Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",,,4.1,64,"https://www.google.com/maps/search/?api=1&query=Dinopark%20Sukabumi"
177,"SantaSea Water Theme Park Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",02666223023,landline,4.2,3804,"https://www.google.com/maps/search/?api=1&query=SantaSea%20Water%20Theme%20Park%20Sukabumi"
178,"Story Land Sukabumi","Tourism","Zona 4 (Jantung Kota)","UNDER_5",,,4.4,27,"https://www.google.com/maps/search/?api=1&query=Story%20Land%20Sukabumi"
179,"Sport Garden Sukabumi","Tourism","Zona 1 (Baros/Jalur)","UNDER_5",085280023782,mobile,4.4,1186,"https://www.google.com/maps/search/?api=1&query=Sport%20Garden%20Sukabumi"
180,"Ryzzy Azzahra Waterpark Sukabumi","Tourism","Zona 5 (Timur/Utara)","UNDER_5",08997469322,mobile,4.4,3104,"https://www.google.com/maps/search/?api=1&query=Ryzzy%20Azzahra%20Waterpark%20Sukabumi"
181,"Kolam Renang Pilar Mas Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",085797810150,mobile,4.5,369,"https://www.google.com/maps/search/?api=1&query=Kolam%20Renang%20Pilar%20Mas%20Sukabumi"
182,"CAMPING GROUND BATUTAPAK Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",087780725576,mobile,4.5,835,"https://www.google.com/maps/search/?api=1&query=CAMPING%20GROUND%20BATUTAPAK%20Sukabumi"
183,"De' Tani Waterpark Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",081911880088,mobile,4.6,429,"https://www.google.com/maps/search/?api=1&query=De'%20Tani%20Waterpark%20Sukabumi"
184,"Happy House Playground&cafe Sukabumi","Tourism","Zona 4 (Jantung Kota)","UNDER_5",085720616260,mobile,4.6,27,"https://www.google.com/maps/search/?api=1&query=Happy%20House%20Playground%26cafe%20Sukabumi"
185,"Kids story cibadak","Tourism","Zona 2 (Cisaat/Cibadak)","UNDER_5",081563217032,mobile,4.6,59,"https://www.google.com/maps/search/?api=1&query=Kids%20story%20cibadak"
186,"Cidahu Camping Ground","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",085624326964,mobile,4.6,1806,"https://www.google.com/maps/search/?api=1&query=Cidahu%20Camping%20Ground"
187,"CAMPING GROUND SITUGUNUNG","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",081298661853,mobile,4.6,3206,"https://www.google.com/maps/search/?api=1&query=CAMPING%20GROUND%20SITUGUNUNG"
188,"Tanakita 5 Star Camp Sukabumi","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",087820631452,mobile,4.7,1242,"https://www.google.com/maps/search/?api=1&query=Tanakita%205%20Star%20Camp%20Sukabumi"
189,"Cidahu Camping Ground Lembah Damar","Tourism","Zona 6 (Ekspedisi Wisata)","UNDER_5",085797019515,mobile,4.7,556,"https://www.google.com/maps/search/?api=1&query=Cidahu%20Camping%20Ground%20Lembah%20Damar"
190,"Digicom","Electronics","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,0,"https://www.google.com/maps/search/?api=1&query=Digicom%20sukabumi"
191,"Sentral Komputer Sukabumi","Electronics","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,777,"https://www.google.com/maps/search/?api=1&query=Sentral%20Komputer%20Sukabumi"
192,"RNY Computer","Electronics","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,779,"https://www.google.com/maps/search/?api=1&query=RNY%20Computer%20sukabumi"
193,"Bestlaptop.id (Jual-Beli Komputer dan Laptop, Service, Sparepart, Aksesoris) Sukabumi","Electronics","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.9,527,"https://www.google.com/maps/search/?api=1&query=Bestlaptop.id%20(Jual-Beli%20Komputer%20dan%20Laptop%2C%20Service%2C%20Sparepart%2C%20Aksesoris)%20Sukabumi"
194,"Multitech Computer","Electronics","Zona 4 (Jantung Kota)","UNDER_5",,,4.3,96,"https://www.google.com/maps/search/?api=1&query=Multitech%20Computer%20sukabumi"
195,"AGRES ID & FONE SUKABUMI 02","Electronics","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,396,"https://www.google.com/maps/search/?api=1&query=AGRES%20ID%20%26%20FONE%20SUKABUMI%2002"
196,"Media Computer Cisaat Sukabumi","Electronics","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.5,70,"https://www.google.com/maps/search/?api=1&query=Media%20Computer%20Cisaat%20Sukabumi"
197,"SIMASTEL","Electronics","Zona 4 (Jantung Kota)","UNDER_5",,,4.4,1239,"https://www.google.com/maps/search/?api=1&query=SIMASTEL%20sukabumi"
198,"Erafone Sukabumi","Electronics","Zona 4 (Jantung Kota)","UNDER_5",,,4.8,349,"https://www.google.com/maps/search/?api=1&query=Erafone%20Sukabumi"
199,"Gadget Boss id","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.8,206,"https://www.google.com/maps/search/?api=1&query=Gadget%20Boss%20id%20sukabumi"
200,"DIOCELL","Electronics","Zona 5 (Timur/Utara)","HIGH_LOW_REV",,,5,1278,"https://www.google.com/maps/search/?api=1&query=DIOCELL%20sukabumi"
201,"Rintel (Phone Service)","Electronics","Zona 5 (Timur/Utara)","UNDER_5",,,4.9,651,"https://www.google.com/maps/search/?api=1&query=Rintel%20(Phone%20Service)%20sukabumi"
202,"Quantum Ponsel - Toko Sparepart & Service HP Sukabumi","Electronics","Zona 5 (Timur/Utara)","UNDER_5",,,4.4,367,"https://www.google.com/maps/search/?api=1&query=Quantum%20Ponsel%20-%20Toko%20Sparepart%20%26%20Service%20HP%20Sukabumi"
203,"Halife Store","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.7,187,"https://www.google.com/maps/search/?api=1&query=Halife%20Store%20sukabumi"
204,"Service Komputer dan Laptop Sukabumi","Electronics","Zona 5 (Timur/Utara)","UNDER_5",,,4.9,28,"https://www.google.com/maps/search/?api=1&query=Service%20Komputer%20dan%20Laptop%20Sukabumi"
205,"Acenkcom","Electronics","Zona 3 (Pusat Selatan)","UNDER_5",,,4.9,134,"https://www.google.com/maps/search/?api=1&query=Acenkcom%20sukabumi"
206,"Bestservice.id (Service Laptop dan Komputer Sukabumi)","Electronics","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",,,5,269,"https://www.google.com/maps/search/?api=1&query=Bestservice.id%20(Service%20Laptop%20dan%20Komputer%20Sukabumi)"
207,"AGS Computer Jual beli service laptop komputer dan handphone sukabumi","Electronics","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.8,93,"https://www.google.com/maps/search/?api=1&query=AGS%20Computer%20Jual%20beli%20service%20laptop%20komputer%20dan%20handphone%20sukabumi"
208,"Robinson elektronik sukabumi","Electronics","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,2732,"https://www.google.com/maps/search/?api=1&query=Robinson%20elektronik%20sukabumi"
209,"Electronic Square","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.7,764,"https://www.google.com/maps/search/?api=1&query=Electronic%20Square%20sukabumi"
210,"Planet Elektronik","Electronics","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,2412,"https://www.google.com/maps/search/?api=1&query=Planet%20Elektronik%20sukabumi"
211,"Varia Elektronik","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.8,200,"https://www.google.com/maps/search/?api=1&query=Varia%20Elektronik%20sukabumi"
212,"Odeon Elektronik Toko","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.4,186,"https://www.google.com/maps/search/?api=1&query=Odeon%20Elektronik%20Toko%20sukabumi"
213,"Obey Electronic","Electronics","Zona 1 (Baros/Jalur)","UNDER_5",,,4.9,145,"https://www.google.com/maps/search/?api=1&query=Obey%20Electronic%20sukabumi"
214,"OXO Warehouse Tipar","Electronics","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,694,"https://www.google.com/maps/search/?api=1&query=OXO%20Warehouse%20Tipar%20sukabumi"
215,"Oke Print Sukabumi","Percetakan","Zona 4 (Jantung Kota)","UNDER_5",,,4.6,727,"https://www.google.com/maps/search/?api=1&query=Oke%20Print%20Sukabumi"
216,"Jatrista Digital Printing","Percetakan","Zona 1 (Baros/Jalur)","UNDER_5",,,4.6,237,"https://www.google.com/maps/search/?api=1&query=Jatrista%20Digital%20Printing%20sukabumi"
217,"copy paste digital printing sukabumi","Percetakan","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.6,312,"https://www.google.com/maps/search/?api=1&query=copy%20paste%20digital%20printing%20sukabumi"
218,"Pandawaprint sukabumi","Percetakan","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.7,39,"https://www.google.com/maps/search/?api=1&query=Pandawaprint%20sukabumi"
219,"PRINTMAX - Digital Printing Sukabumi","Percetakan","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,112,"https://www.google.com/maps/search/?api=1&query=PRINTMAX%20-%20Digital%20Printing%20Sukabumi"
220,"Universal Printing","Percetakan","Zona 1 (Baros/Jalur)","UNDER_5",,,4.4,71,"https://www.google.com/maps/search/?api=1&query=Universal%20Printing%20sukabumi"
221,"Hikmah Grafika Barokah","Percetakan","Zona 5 (Timur/Utara)","UNDER_5",,,4.5,136,"https://www.google.com/maps/search/?api=1&query=Hikmah%20Grafika%20Barokah%20sukabumi"
222,"YUDHIS PRINTING & APPAREL","Percetakan","Zona 5 (Timur/Utara)","HIGH_LOW_REV",,,5,143,"https://www.google.com/maps/search/?api=1&query=YUDHIS%20PRINTING%20%26%20APPAREL%20sukabumi"
223,"Intipromo","Percetakan","Zona 4 (Jantung Kota)","UNDER_5",,,4.4,156,"https://www.google.com/maps/search/?api=1&query=Intipromo%20sukabumi"
224,"Agis Printing","Percetakan","Zona 4 (Jantung Kota)","UNDER_5",,,4.1,71,"https://www.google.com/maps/search/?api=1&query=Agis%20Printing%20sukabumi"
225,"Percetakan D' Prints (Digital Printing)","Percetakan","Zona 1 (Baros/Jalur)","UNDER_5",,,4.5,11,"https://www.google.com/maps/search/?api=1&query=Percetakan%20D'%20Prints%20(Digital%20Printing)%20sukabumi"
226,"CR DIGITAL PRINTING (CRSTORE)","Percetakan","Zona 1 (Baros/Jalur)","UNDER_5",,,4.8,109,"https://www.google.com/maps/search/?api=1&query=CR%20DIGITAL%20PRINTING%20(CRSTORE)%20sukabumi"
227,"Cititex Siliwangi Sukabumi (Kaos Polos dan Sablon Satuan - Partai Besar)","Percetakan","Zona 4 (Jantung Kota)","UNDER_5",,,4.9,483,"https://www.google.com/maps/search/?api=1&query=Cititex%20Siliwangi%20Sukabumi%20(Kaos%20Polos%20dan%20Sablon%20Satuan%20-%20Partai%20Besar)"
228,"HARMONY INDUSTRIES","Percetakan","Zona 1 (Baros/Jalur)","UNDER_5",,,4.9,62,"https://www.google.com/maps/search/?api=1&query=HARMONY%20INDUSTRIES%20sukabumi"
229,"Alta Konveksi sukabumi Sablon sukabumi","Percetakan","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,26,"https://www.google.com/maps/search/?api=1&query=Alta%20Konveksi%20sukabumi%20Sablon%20sukabumi"
230,"Konveksi Sablon Amistiker Sukabumi","Percetakan","Zona 2 (Cisaat/Cibadak)","UNDER_5",,,4.7,15,"https://www.google.com/maps/search/?api=1&query=Konveksi%20Sablon%20Amistiker%20Sukabumi"
231,"ZEN SABLON & KONFEKSI","Percetakan","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,14,"https://www.google.com/maps/search/?api=1&query=ZEN%20SABLON%20%26%20KONFEKSI%20sukabumi"
232,"ZISABLON STUDIO","Percetakan","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,3,"https://www.google.com/maps/search/?api=1&query=ZISABLON%20STUDIO%20sukabumi"
233,"Konveksi Sablon Sukabumi","Percetakan","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",,,5,43,"https://www.google.com/maps/search/?api=1&query=Konveksi%20Sablon%20Sukabumi"
234,"Pusat Neon Box Sukabumi Tercepat dan Termurah | SIGNUMI |","Percetakan","Zona 5 (Timur/Utara)","HIGH_LOW_REV",,,5,54,"https://www.google.com/maps/search/?api=1&query=Pusat%20Neon%20Box%20Sukabumi%20Tercepat%20dan%20Termurah%20%7C%20SIGNUMI%20%7C"
235,"TUKANG NEONBOX DAN REKLAME SUKABUMI","Percetakan","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",,,5,13,"https://www.google.com/maps/search/?api=1&query=TUKANG%20NEONBOX%20DAN%20REKLAME%20SUKABUMI"
236,"Jasa buat neon box sukabumi ( buat papan logo neon, lampu papan nama untuk toko atau ruko)","Percetakan","Zona 3 (Pusat Selatan)","HIGH_LOW_REV",,,5,7,"https://www.google.com/maps/search/?api=1&query=Jasa%20buat%20neon%20box%20sukabumi%20(%20buat%20papan%20logo%20neon%2C%20lampu%20papan%20nama%20untuk%20toko%20atau%20ruko)"
237,"UdayDistro","Fashion","Zona 1 (Baros/Jalur)","UNDER_5",,,4.7,21,"https://www.google.com/maps/search/?api=1&query=UdayDistro%20sukabumi"
238,"ROUGHREBEL STORE SUKABUMI","Fashion","Zona 1 (Baros/Jalur)","UNDER_5",,,4.6,60,"https://www.google.com/maps/search/?api=1&query=ROUGHREBEL%20STORE%20SUKABUMI"
239,"Distro Skaters","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,27,"https://www.google.com/maps/search/?api=1&query=Distro%20Skaters%20sukabumi"
240,"Grosir Distro Bandung","Fashion","Zona 1 (Baros/Jalur)","UNDER_5",,,4.4,14,"https://www.google.com/maps/search/?api=1&query=Grosir%20Distro%20Bandung%20sukabumi"
241,"Mars","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.6,47,"https://www.google.com/maps/search/?api=1&query=Mars%20sukabumi"
242,"Distro trusted merch","Fashion","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,1,"https://www.google.com/maps/search/?api=1&query=Distro%20trusted%20merch%20sukabumi"
243,"Addictive Skateshop & Clothing reja","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.4,128,"https://www.google.com/maps/search/?api=1&query=Addictive%20Skateshop%20%26%20Clothing%20reja%20sukabumi"
244,"ALJABAR KONVEKSI","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.8,68,"https://www.google.com/maps/search/?api=1&query=ALJABAR%20KONVEKSI%20sukabumi"
245,"Konveksi & Sablon Sukabumi | Sukabumian","Fashion","Zona 2 (Cisaat/Cibadak)","HIGH_LOW_REV",,,5,28,"https://www.google.com/maps/search/?api=1&query=Konveksi%20%26%20Sablon%20Sukabumi%20%7C%20Sukabumian"
246,"Syafiq Jaya Konveksi","Fashion","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,13,"https://www.google.com/maps/search/?api=1&query=Syafiq%20Jaya%20Konveksi%20sukabumi"
247,"Husna Boutique","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.9,57,"https://www.google.com/maps/search/?api=1&query=Husna%20Boutique%20sukabumi"
248,"Seply sukabumi","Fashion","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,125,"https://www.google.com/maps/search/?api=1&query=Seply%20sukabumi"
249,"Sabillah Fashion","Fashion","Zona 3 (Pusat Selatan)","UNDER_5",,,4.9,94,"https://www.google.com/maps/search/?api=1&query=Sabillah%20Fashion%20sukabumi"
250,"Alvire & Co","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,3.6,5,"https://www.google.com/maps/search/?api=1&query=Alvire%20%26%20Co%20sukabumi"
251,"N2N Sukabumi","Fashion","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,18,"https://www.google.com/maps/search/?api=1&query=N2N%20Sukabumi"
252,"ZOYA","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,95,"https://www.google.com/maps/search/?api=1&query=ZOYA%20sukabumi"
253,"Wansu Store","Fashion","Zona 5 (Timur/Utara)","UNDER_5",,,4.6,351,"https://www.google.com/maps/search/?api=1&query=Wansu%20Store%20sukabumi"
254,"House of Donatello","F&B","Zona 4 (Jantung Kota)","UNDER_5",,,4.7,657,"https://www.google.com/maps/search/?api=1&query=House%20of%20Donatello%20sukabumi"
255,"Toko Sinar Terang Sukabumi","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.3,75,"https://www.google.com/maps/search/?api=1&query=Toko%20Sinar%20Terang%20Sukabumi"
256,"RANK Sports Sukabumi","Fashion","Zona 4 (Jantung Kota)","HIGH_LOW_REV",,,5,1952,"https://www.google.com/maps/search/?api=1&query=RANK%20Sports%20Sukabumi"
257,"Toko Sepatu Gs D/h Grand Shoes","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4.5,34,"https://www.google.com/maps/search/?api=1&query=Toko%20Sepatu%20Gs%20D%2Fh%20Grand%20Shoes%20sukabumi"
258,"Garage shoes sukabumi","Fashion","Zona 1 (Baros/Jalur)","HIGH_LOW_REV",,,5,26,"https://www.google.com/maps/search/?api=1&query=Garage%20shoes%20sukabumi"
259,"Toko Sepatu Sinar Sukabumi","Fashion","Zona 4 (Jantung Kota)","UNDER_5",,,4,5,"https://www.google.com/maps/search/?api=1&query=Toko%20Sepatu%20Sinar%20Sukabumi"
260,"Tani Raya Poultry Shop","Agrikultur","Zona 6 (Ekspedisi Wisata)","UNDER_5",,,4.7,23,"https://www.google.com/maps/search/?api=1&query=Tani%20Raya%20Poultry%20Shop%20sukabumi"
